113	210.7561
113	211.7561
112.589745	213
111.947365	213.92105
111.48485	213.39394
111.5	212
112.27273	209.04546
113.05	206.1
112.8421	204.1579
112.708336	203
111.79412	203.08824
110.35135	204.59459
109.976746	205.58139
110.11628	206.88373
110.068184	207.95454
109.44681	209.23404
108.56863	210.47058
106.97872	211.17021
104.67347	210.57143
102.804344	209.65218
101.32653	207.57143
102.91111	204.7111
106.63043	201.89131
110.57143	200.32654
113.84	200.22
115.081635	200.7551
116.45283	200.56604
117.14815	200.5
117.218185	201.47273
116.21568	201.68628
114.45283	201.56604
111.77358	200.86792
108.74074	200.22223
105.66038	199.22641
104.611115	197.61111
106.5	196.5
108.45283	195.43396
111.69388	195.06122
116.35849	194.67924
119.24	193.76
122.36539	193.42308
124.07843	193.35294
124.388885	193.38889
124.41071	193.03572
124.75	192.61539
124.918365	192.2449
124.41071	190.89285
123.28302	189.79245
120.75	188.61539
119.47059	187.56863
119.938774	187.69388
121.71154	188.28847
124.416664	188.75
126.319145	188.95744
128.29167	189.5
129.93478	189.23914
131.04256	188.68085
131.64583	188.64583
131.67924	188.35849
130.32654	186.57143
128.4	184.6
125.333336	182.54903
122.62	181.74
122.489365	182.78723
124.51111	184.82222
126.210526	186.1579
127.5	187.5
128.41936	187.54839
129.83333	187.6
131.71875	188.1875
132.41379	188.27586
132.41936	186.93549
132.5	184.70589
132.56818	182.36363
131.32654	180.42857
130.26	179.52
129	179.5
128.075	180.2
127.23333	181.86667
125.625	183.84375
126.34286	184.94286
126.756096	186
126.26087	187.36957
126.76087	188.02174
128	188
126.57143	188.20409
125.04348	187.78261
123.925	187.8
123.36667	186.36667
122.10714	184
120.6129	182.74193
120.088234	183.20589
118.756096	185
117.64	186.5
117.75926	188.35185
117.951614	189.17741
118.13559	189.57628
117.66071	190.91072
117.32143	191
117.5	189.28572
118.25	186.61539
119.26087	182.67392
117.63043	181.10869
115	182.52632
112.52542	185.27118
110.611115	188.61111
109.833336	191.0625
108.933334	192.44444
108.12195	193.53659
108.02941	194.38235
107.5	194.5
107.5	193.5
107.411766	191.67647
108.5	188
107.77143	184.42857
106	182.7561
104	183.91304
101.09091	186.52272
98.95238	188.83333
96.88636	190.79546
95.88372	191.88373
95	192.7561
93.25	193.75
91.4186	193.97675
89.558136	193.44186
88.93023	192.27907
89.243904	190
90.14286	187.30952
92	185.7561
94.61905	184.09525
98.69768	182.1628
103.270836	180.375
106.22449	179.69388
107.16	180.26
107.320755	180.35849
107.5	180.5
107.611115	180.38889
106	180
103.05454	179.27272
98.5	179.14815
94.611115	178.61111
94.5	176.5
96.320755	173.5849
100.10204	171.77551
106.22	170.76
112.4898	170.71428
116.934784	170.76086
119.36957	170.89131
120.82979	170.57446
122.52	170.3
124	169
124.061226	167.08163
123.51923	164.63461
121.71154	162.71153
120.36	161.5
118.45098	160.70589
116.5	161.16
115.391304	162.60869
115.410255	165
115.454544	167.78787
115.611115	170.86111
116.95238	172.5
118.075	172.8
118.666664	172.77777
119.63333	172.63333
121.13793	171.58621
122.5	170
123.09091	167.90909
123	165.5
121.5	163.78572
118.51852	163.11111
114.88571	163.88571
111	165.5
106.914894	168.91489
105.14815	172.5
104.30769	175.13461
103.57447	176.82979
102.71111	177.86667
102.88636	178.20454
103	178.5
104	177
105.830185	174.37737
108.316666	171.21666
108.34545	168.45454
106.64151	166.67924
104.4	167.28
101.3617	168.19148
97.702126	169.55319
95.24324	171.24324
94	173
93.42857	174.22858
